TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:16.656270;249838064;-580.5;18.3;-49;20;51.282051282051285
2024-11-12 18:03:16.702069;249789266;-1105.0;19.2;-72;20;51.282051282051285
2024-11-12 18:03:16.746265;249726196;-1341.3;19.9;-71;20;51.282051282051285
2024-11-12 18:03:16.791327;249665046;-1224.7;19.2;-58;18;51.282051282051285
2024-11-12 18:03:16.836456;249611672;-1050.0;16.8;-37;14;51.282051282051285
2024-11-12 18:03:16.881361;249564845;-835.4;13.4;-22;12;51.282051282051285
2024-11-12 18:03:16.926343;249533779;-576.8;11.2;-13;10;51.282051282051285
2024-11-12 18:03:16.971333;249512302;-400.3;9.2;-5;8;51.282051282051285
2024-11-12 18:03:17.016286;249500278;-175.5;7.9;0;8;51.282051282051285
2024-11-12 18:03:17.061581;249496949;-4.8;7.5;1;7;51.282051282051285
2024-11-12 18:03:17.106291;249497705;29.4;6.6;4;7;51.282051282051285
2024-11-12 18:03:17.151475;249506803;287.3;7.0;9;8;51.282051282051285
2024-11-12 18:03:17.196275;249526208;457.4;8.4;15;9;51.282051282051285
2024-11-12 18:03:17.241349;249556271;648.5;9.2;24;11;51.282051282051285
2024-11-12 18:03:17.286516;249594352;867.4;11.2;35;13;51.282051282051285
2024-11-12 18:03:17.331457;249638281;926.4;13.9;41;16;51.282051282051285
2024-11-12 18:03:17.376370;249680951;877.1;16.5;48;19;51.282051282051285
2024-11-12 18:03:17.421333;249720994;819.9;18.8;45;20;51.282051282051285
2024-11-12 18:03:17.466323;249759200;704.6;19.6;45;20;51.282051282051285
2024-11-12 18:03:17.511366;249792321;689.3;19.9;43;20;51.282051282051285
2024-11-12 18:03:17.556296;249823309;589.5;19.6;30;20;51.282051282051285
2024-11-12 18:03:17.601419;249844446;325.3;19.4;14;20;51.282051282051285
2024-11-12 18:03:17.646815;249851844;30.5;20.1;0;19;51.282051282051285
2024-11-12 18:03:17.691742;249846110;-235.3;19.2;-25;20;55.55555555555555
2024-11-12 18:03:17.736286;249820449;-713.4;19.9;-54;20;55.55555555555555
2024-11-12 18:03:17.781333;249772823;-1140.9;19.9;-71;20;55.55555555555555
2024-11-12 18:03:17.826445;249706089;-1315.4;19.4;-71;20;55.55555555555555
2024-11-12 18:03:17.871363;249644853;-1234.5;19.0;-53;16;55.55555555555555
