TIMESTAMP;PULL_CADENCE;MAX_POWER;MAX_SPEED;MAX_TORQUE
2025-01-09_07:27:47.489;50.00;213;1236.4;30
2025-01-09_07:27:48.719;48.78;214;1240.1;30
2025-01-09_07:27:49.920;49.96;219;1277.3;30
2025-01-09_07:27:51.149;48.82;210;1211.6;30
2025-01-09_07:27:52.379;48.78;219;1276.6;30
2025-01-09_07:27:53.581;49.92;224;1293.1;30
2025-01-09_07:27:54.839;47.69;229;1365.6;30
2025-01-09_07:27:56.100;47.58;212;1229.0;30
2025-01-09_07:27:57.359;47.66;213;1214.5;30
2025-01-09_07:27:58.619;47.62;216;1246.0;30
2025-01-09_07:27:59.849;48.78;215;1230.3;30
2025-01-09_07:28:01.109;47.62;216;1254.4;30
2025-01-09_07:28:02.369;47.62;219;1280.6;30
2025-01-09_07:28:03.629;47.62;220;1276.7;30
2025-01-09_07:28:04.889;47.62;216;1271.3;30
2025-01-09_07:28:06.060;51.24;178;1024.4;30
2025-01-09_07:28:06.389;0.00;5;0.1;30
2025-01-09_07:28:06.479;0.00;4;0.1;30
2025-01-09_07:28:06.541;0.00;5;0.1;30
2025-01-09_07:28:06.660;0.00;4;0.1;30
2025-01-09_07:28:07.800;52.63;18;7.4;30
2025-01-09_07:28:07.919;0.00;17;0.3;30
2025-01-09_07:28:08.039;0.00;17;0.2;30
2025-01-09_07:28:08.160;0.00;17;0.1;30
2025-01-09_07:28:08.969;74.17;24;85.4;30
2025-01-09_07:28:09.180;0.00;12;25.0;30
2025-01-09_07:28:09.600;0.00;12;35.5;30
2025-01-09_07:28:10.169;0.00;0;0.1;30
2025-01-09_07:28:10.350;0.00;0;0.1;30
2025-01-09_07:28:10.529;0.00;0;0.2;30
2025-01-09_07:28:10.800;0.00;0;0.3;30
2025-01-09_07:28:11.879;55.61;0;0.1;30
2025-01-09_07:28:12.119;0.00;0;0.4;30
2025-01-09_07:28:12.660;0.00;0;0.5;30
2025-01-09_07:28:13.350;86.96;0;0.1;30
2025-01-09_07:28:13.500;0.00;0;0.1;30
2025-01-09_07:28:13.590;0.00;0;0.1;30
2025-01-09_07:28:13.800;0.00;0;0.1;30
2025-01-09_07:28:15.000;50.00;0;0.1;30
2025-01-09_07:28:15.120;0.00;0;0.1;30
2025-01-09_07:28:16.950;32.79;0;0.2;30
