TIMESTAMP;PULL_CADENCE;MAX_POWER;MAX_SPEED;MAX_TORQUE
2025-01-09_06:32:12.273;0.00;0;0.0;20.0
2025-01-09_06:32:12.663;0.00;0;0.1;20.0
2025-01-09_06:32:13.593;64.52;0;0.1;20.0
2025-01-09_06:32:15.693;28.57;0;0.1;20.0
2025-01-09_06:32:24.423;0.00;0;0.1;20.0
2025-01-09_06:33:18.939;0.00;0;0.1;20.0
2025-01-09_06:33:19.328;0.00;0;0.1;20.0
2025-01-09_06:33:28.873;0.00;0;0.1;20.0
2025-01-09_06:33:31.129;26.60;35;268.2;20.0
2025-01-09_06:33:32.749;37.04;95;695.4;20.0
2025-01-09_06:33:34.128;43.51;96;702.4;20.0
2025-01-09_06:33:35.449;45.42;109;810.0;20.0
2025-01-09_06:33:36.804;44.28;111;821.0;20.0
2025-01-09_06:33:38.124;45.45;113;806.8;20.0
2025-01-09_06:33:38.395;0.00;7;2.1;20.0
2025-01-09_06:33:38.843;133.93;8;15.9;20.0
2025-01-09_06:33:38.934;0.00;4;0.1;20.0
2025-01-09_06:33:39.115;0.00;4;1.3;20.0
2025-01-09_06:33:39.204;0.00;4;0.1;20.0
2025-01-09_06:33:39.384;0.00;5;4.4;20.0
2025-01-09_06:33:39.743;0.00;5;9.7;20.0
2025-01-09_06:33:40.164;142.52;4;0.1;20.0
2025-01-09_06:33:40.254;0.00;4;0.1;20.0
2025-01-09_06:33:41.094;71.43;7;49.7;20.0
2025-01-09_06:33:41.274;0.00;4;3.2;20.0
2025-01-09_06:33:42.744;40.82;116;879.4;20.0
2025-01-09_06:33:44.034;46.51;113;854.3;20.0
2025-01-09_06:33:45.294;47.62;116;869.8;20.0
2025-01-09_06:33:46.554;47.62;108;784.0;20.0
2025-01-09_06:33:48.594;29.41;122;893.5;20.0
2025-01-09_06:33:49.794;50.00;122;886.0;20.0
2025-01-09_06:33:51.024;48.78;124;884.5;20.0
2025-01-09_06:33:52.104;55.56;96;734.9;20.0
2025-01-09_06:33:53.604;40.00;94;688.7;20.0
2025-01-09_06:33:54.864;47.62;71;531.2;20.0
2025-01-09_06:33:55.374;117.65;17;1.7;20.0
2025-01-09_06:33:55.494;0.00;17;4.3;20.0
2025-01-09_06:33:57.029;39.09;39;193.4;20.0
2025-01-09_06:33:57.239;0.00;13;0.6;20.0
2025-01-09_06:33:57.389;0.00;14;5.2;20.0
2025-01-09_06:33:57.899;117.65;15;21.7;20.0
2025-01-09_06:33:58.199;0.00;14;20.6;20.0
2025-01-09_06:33:58.319;0.00;13;8.3;20.0
2025-01-09_06:33:58.379;0.00;12;0.1;20.0
2025-01-09_06:33:59.039;90.91;15;38.6;20.0
2025-01-09_06:33:59.279;0.00;11;0.1;20.0
2025-01-09_06:33:59.729;133.33;12;13.9;20.0
2025-01-09_06:34:00.454;82.76;12;17.3;20.0
2025-01-09_06:34:00.544;0.00;9;0.1;20.0
2025-01-09_06:34:00.754;0.00;9;3.1;20.0
2025-01-09_06:34:00.874;0.00;9;0.1;20.0
2025-01-09_06:34:02.254;43.48;9;0.1;20.0
2025-01-09_06:34:02.315;0.00;9;0.1;20.0
2025-01-09_06:34:02.824;117.88;9;0.1;20.0
2025-01-09_06:34:03.124;0.00;9;0.1;20.0
2025-01-09_06:34:03.304;0.00;9;0.1;20.0
2025-01-09_06:34:03.574;0.00;9;0.1;20.0
2025-01-09_06:34:03.634;0.00;9;0.1;20.0
2025-01-09_06:34:03.754;0.00;9;0.4;20.0
2025-01-09_06:34:03.845;0.00;9;0.1;20.0
2025-01-09_06:34:03.934;0.00;9;0.1;20.0
2025-01-09_06:34:04.054;0.00;9;0.1;20.0
2025-01-09_06:34:04.174;0.00;9;0.1;20.0
2025-01-09_06:34:04.504;0.00;9;0.1;20.0
2025-01-09_06:34:04.744;0.00;9;0.3;20.0
2025-01-09_06:34:04.834;0.00;9;0.1;20.0
2025-01-09_06:34:05.014;0.00;9;0.1;20.0
2025-01-09_06:34:05.194;0.00;9;0.3;20.0
2025-01-09_06:34:05.314;0.00;9;2.7;20.0
2025-01-09_06:34:05.494;0.00;9;1.6;20.0
2025-01-09_06:34:06.154;90.91;9;0.1;20.0
2025-01-09_06:34:06.424;0.00;9;0.3;20.0
2025-01-09_06:34:06.754;0.00;9;2.7;20.0
2025-01-09_06:34:07.175;142.52;10;13.3;20.0
2025-01-09_06:34:08.194;58.88;9;0.1;20.0
2025-01-09_06:34:08.794;100.00;9;0.1;20.0
2025-01-09_06:34:08.944;0.00;9;0.2;20.0
2025-01-09_06:34:09.669;82.76;9;4.0;20.0
2025-01-09_06:34:09.879;0.00;9;0.1;20.0
2025-01-09_06:34:10.239;0.00;9;0.1;20.0
2025-01-09_06:34:10.899;90.91;9;0.1;20.0
2025-01-09_06:34:10.989;0.00;8;0.1;20.0
2025-01-09_06:34:11.349;0.00;9;0.1;20.0
2025-01-09_06:34:11.829;125.00;9;0.2;20.0
2025-01-09_06:34:12.309;125.00;8;0.2;20.0
2025-01-09_06:34:12.879;105.26;9;11.1;20.0
2025-01-09_06:34:13.329;133.33;9;0.3;20.0
2025-01-09_06:34:13.839;117.65;8;0.2;20.0
2025-01-09_06:34:14.469;95.24;8;0.2;20.0
2025-01-09_06:34:14.649;0.00;8;0.2;20.0
2025-01-09_06:34:15.219;105.26;9;6.4;20.0
2025-01-09_06:34:15.399;0.00;8;0.2;20.0
2025-01-09_06:34:15.609;0.00;8;1.7;20.0
2025-01-09_06:34:15.699;0.00;8;0.1;20.0
2025-01-09_06:34:15.759;0.00;8;0.2;20.0
2025-01-09_06:34:17.859;28.57;17;0.2;20.0
2025-01-09_06:34:18.009;0.00;17;0.1;20.0
2025-01-09_06:34:18.309;0.00;17;2.5;20.0
2025-01-09_06:34:19.809;40.00;54;312.0;20.0
2025-01-09_06:34:21.189;43.48;111;819.6;20.0
2025-01-09_06:34:22.449;47.62;122;895.0;20.0
2025-01-09_06:34:23.654;49.79;121;879.4;20.0
2025-01-09_06:34:24.854;50.00;119;870.2;20.0
2025-01-09_06:34:26.084;48.78;123;882.1;20.0
2025-01-09_06:34:27.254;51.28;125;943.1;20.0
2025-01-09_06:34:28.454;50.00;123;893.2;20.0
