TIMESTAMP;PULL_CADENCE;MAX_POWER;MAX_SPEED;MAX_TORQUE
2025-01-09_16:42:29.886;0.00;5;0.0;40.0
2025-01-09_16:42:30.126;0.00;21;116.6;40.0
2025-01-09_16:42:30.846;83.33;22;102.7;40.0
2025-01-09_16:42:31.266;0.00;15;44.4;40.0
2025-01-09_16:42:31.506;0.00;11;16.5;40.0
2025-01-09_16:42:31.776;0.00;11;9.6;40.0
2025-01-09_16:42:32.947;51.24;11;93.5;40.0
2025-01-09_16:42:33.516;0.00;4;0.8;40.0
2025-01-09_16:42:33.636;0.00;4;0.9;40.0
2025-01-09_16:42:34.566;64.52;6;44.7;40.0
2025-01-09_16:42:39.996;0.00;0;0.1;40.0
2025-01-09_16:42:42.156;27.78;0;0.1;40.0
2025-01-09_16:42:43.776;37.04;0;0.2;40.0
2025-01-09_16:42:49.026;0.00;0;0.1;40.0
2025-01-09_16:43:02.496;0.00;0;0.1;40.0
2025-01-09_16:43:03.276;76.92;0;0.1;40.0
2025-01-09_16:43:05.646;25.32;0;0.1;40.0
2025-01-09_16:43:06.006;0.00;0;0.1;40.0
2025-01-09_16:43:06.576;0.00;0;0.1;40.0
2025-01-09_16:43:08.766;27.40;94;368.6;40.0
2025-01-09_16:43:09.792;58.48;20;1.3;40.0
2025-01-09_16:43:10.091;0.00;20;3.4;40.0
2025-01-09_16:43:11.682;37.71;172;802.6;40.0
2025-01-09_16:43:13.122;41.67;187;842.3;40.0
2025-01-09_16:43:14.412;46.51;207;982.1;40.0
2025-01-09_16:43:15.761;44.48;193;902.8;40.0
2025-01-09_16:43:17.082;45.42;190;922.9;40.0
2025-01-09_16:43:18.312;48.78;210;981.2;40.0
2025-01-09_16:43:19.602;46.51;206;954.8;40.0
2025-01-09_16:43:20.892;46.51;189;863.2;40.0
2025-01-09_16:43:22.152;47.62;197;907.6;40.0
2025-01-09_16:43:23.352;50.00;208;954.4;40.0
2025-01-09_16:43:24.522;51.28;198;906.7;40.0
2025-01-09_16:43:25.812;46.51;194;902.6;40.0
2025-01-09_16:43:26.982;51.28;217;1008.8;40.0
2025-01-09_16:43:28.182;50.00;208;970.3;40.0
2025-01-09_16:43:29.322;52.63;208;983.7;40.0
2025-01-09_16:43:30.462;52.63;206;966.2;40.0
2025-01-09_16:43:31.272;74.07;111;656.5;40.0
2025-01-09_16:43:31.632;0.00;0;0.1;40.0
2025-01-09_16:43:40.062;0.00;212;1485.4;40.0
2025-01-09_16:43:41.382;45.45;175;855.1;40.0
2025-01-09_16:43:42.552;51.28;194;898.9;40.0
2025-01-09_16:43:43.842;46.51;180;815.4;40.0
2025-01-09_16:43:45.107;47.43;193;939.3;40.0
2025-01-09_16:43:46.337;48.78;201;966.7;40.0
2025-01-09_16:43:47.627;46.51;192;899.9;40.0
2025-01-09_16:43:48.857;48.78;164;709.7;40.0
2025-01-09_16:43:50.057;50.00;176;834.5;40.0
2025-01-09_16:43:51.228;51.24;204;947.3;40.0
2025-01-09_16:43:52.307;55.61;225;1055.7;40.0
2025-01-09_16:43:53.447;52.63;219;1010.5;40.0
2025-01-09_16:43:54.617;51.28;203;972.7;40.0
2025-01-09_16:43:55.697;55.56;227;1065.5;40.0
2025-01-09_16:43:56.897;50.00;221;1067.0;40.0
2025-01-09_16:43:58.007;54.05;219;1035.4;40.0
2025-01-09_16:43:59.147;52.63;217;1021.3;40.0
2025-01-09_16:44:00.317;51.28;192;929.3;40.0
2025-01-09_16:44:01.457;52.63;205;977.6;40.0
2025-01-09_16:44:02.597;52.63;211;1017.1;40.0
2025-01-09_16:44:03.707;54.05;217;1005.2;40.0
2025-01-09_16:44:05.657;30.77;213;994.2;40.0
2025-01-09_16:44:07.007;44.44;0;0.1;40.0
2025-01-09_16:44:07.427;0.00;0;0.1;40.0
2025-01-09_16:44:13.127;0.00;0;0.1;40.0
2025-01-09_16:44:14.418;46.48;0;0.1;40.0
2025-01-09_16:44:14.957;0.00;0;0.1;40.0
2025-01-09_16:44:17.267;25.97;9;83.9;40.0
2025-01-09_16:44:18.857;37.74;196;914.3;40.0
2025-01-09_16:44:20.118;47.58;183;855.6;40.0
2025-01-09_16:44:21.288;51.28;208;968.7;40.0
2025-01-09_16:44:22.549;47.58;190;894.5;40.0
2025-01-09_16:44:23.718;51.33;207;978.5;40.0
2025-01-09_16:44:24.978;47.62;188;874.4;40.0
