TIMESTAMP;PULL_CADENCE;MAX_POWER;MAX_SPEED;MAX_TORQUE
2025-01-10_14:09:04.213;0.00;6;0.0;30
2025-01-10_14:09:04.488;0.00;22;171.7;30
2025-01-10_14:09:05.818;45.11;170;940.0;30
2025-01-10_14:09:06.778;62.50;197;1104.1;30
2025-01-10_14:09:07.708;64.52;193;1091.2;30
2025-01-10_14:09:08.698;60.61;201;1162.0;30
2025-01-10_14:09:09.658;62.50;194;1082.4;30
2025-01-10_14:09:10.648;60.61;198;1130.7;30
2025-01-10_14:09:11.758;54.05;207;1192.3;30
2025-01-10_14:09:12.748;60.61;224;1299.6;30
2025-01-10_14:09:13.768;58.82;196;1116.3;30
2025-01-10_14:09:14.848;55.56;192;1090.3;30
2025-01-10_14:09:15.208;0.00;4;0.5;30
2025-01-10_14:09:15.448;0.00;4;0.1;30
2025-01-10_14:20:05.197;0.00;4;0.1;30
2025-01-10_14:20:06.517;45.45;180;1019.9;30
2025-01-10_14:20:07.507;60.61;183;1054.1;30
2025-01-10_14:20:08.527;58.82;194;1108.7;30
2025-01-10_14:20:09.517;60.61;195;1109.4;30
2025-01-10_14:20:10.537;58.82;202;1158.4;30
2025-01-10_14:20:11.527;60.61;205;1181.3;30
2025-01-10_14:20:12.547;58.82;209;1220.0;30
2025-01-10_14:20:13.567;58.82;225;1308.9;30
2025-01-10_14:20:14.557;60.61;220;1300.1;30
2025-01-10_14:20:15.577;58.82;223;1278.8;30
2025-01-10_14:20:16.567;60.61;213;1210.6;30
2025-01-10_14:20:17.587;58.82;206;1193.3;30
2025-01-10_14:20:18.607;58.82;215;1264.0;30
2025-01-10_14:20:21.547;20.41;170;932.6;30
2025-01-10_14:20:21.877;0.00;0;1.1;30
